angle,angular_velocity,cart_position,cart_velocity
0.10005381627845744,0.010764213859497884,4.867953496645374e-06,0.0009736785944698098
0.0990466024385647,-0.21223038095889474,0.001193939919174834,0.23684062418405788
0.09681369520051247,-0.23439249643346374,0.0037314427215446155,0.2706567457662572
0.0943737906402753,-0.25363348568671346,0.006591028087797282,0.3012567755602895
0.09174624244424522,-0.27192459240737915,0.009750324187432394,0.3305985820417793
0.08894059235313302,-0.28925704412601516,0.013196598396964068,0.3586520956351015
0.0859665568745694,-0.30560465741628084,0.016916736118164313,0.38537099157579396
0.08283410189171098,-0.3209437380305302,0.02089717825776848,0.4107126967505446
0.07955341661395905,-0.33525331308066597,0.025123959983861924,0.43463863772105693
0.07613488622859706,-0.34851515863243354,0.029582750914136688,0.4571142790480025
0.07258906431620087,-0.360713819306312,0.034258895627578674,0.4781091496312494
0.06892664510200457,-0.37183662143450863,0.039137454389099005,0.4975968589366456
0.06515843560963522,-0.3818736793794539,0.04420324398557113,0.5155551030290721
0.06129532778747139,-0.39081789464116584,0.049440878571014535,0.5319656603483623
0.05734827068135429,-0.3986649474321957,0.054834810418232724,0.5468143772052281
0.05332824273029765,-0.4054132804587569,0.060369370474201864,0.560091143018222
0.04924622426412588,-0.4110640747134952,0.0660288086169472,0.57178985535911
0.045113170283556554,-0.4156212171576698,0.07179733351255671,0.581908374922068
0.04093998360408685,-0.4190912602466839,0.07765915197237963,0.5904484705810833
0.03673748844511377,-0.4214833733312849,0.08359850771234571,0.5974157547490208
0.03251640454500084,-0.4228092860456851,0.08959971941871765,0.6028196093002357
0.02828732188130208,-0.4230832238717132,0.09564721802744244,0.6066731023655828
0.0240606760730863,-0.4223218361433265,0.10172558312758048,0.6089928963534763
0.019846724539304434,-0.4205441168269505,0.10781957840303777,0.6097991475926108
0.01565552348345743,-0.4177713184788418,0.11391418603097625,0.6091153980304532
0.011496905770512062,-0.4140268598398503,0.11999463995979193,0.6069684594561517
0.007380459757147088,-0.4093362275796168,0.12604645799438904,0.6033882907466314
0.0033155091310718924,-0.40372687274563884,0.13205547262159434,0.598407868660052
-0.0006889061905709778,-0.3972281025072201,0.1380078605139014,0.5920630527212476
-0.004624048059738719,-0.38987096780977154,0.1438901706552595,0.5843924447591392
-0.008481496955215263,-0.3816881475711522,0.1496893510382743,0.5754372436663986
-0.012253167668146759,-0.3727138300588329,0.15539277388791906,0.5652410959569144
-0.01593132379038239,-0.36298359208493214,0.1609882593726137,0.5538499426970581
-0.01950859098694053,-0.35253427664610304,0.16646409776927065,0.5413118633826173
-0.0229779690401039,-0.3414038696174678,0.1718090700545838,0.5276769173248888
-0.026332842658618183,-0.32963137608508153,0.17701246690041308,0.5129969830971977
-0.029566991051161413,-0.3172566968706249,0.18206410605655152,0.4973255965774642
-0.03267459626861071,-0.3043205057661377,0.18695434810942677,0.48071778810385657
-0.035650250324612116,-0.29086412795660105,0.19167411061035472,0.4632299192395321
-0.03848896110852264,-0.27692942006509313,0.19621488057180844,0.44491951961949283
-0.0411861571089155,-0.26255865221009445,0.2005687253347744,0.42584512432815314
-0.04373769096950406,-0.24779439241830153,0.20472830181462684,0.4060661122308337
-0.04613984190254116,-0.23267939368997573,0.20868686413705412,0.3856425456565077
-0.04838931698749244,-0.21725648396828204,0.212438269679414,0.3646350118031674
-0.05048325138507515,-0.2015684592200706,0.21597698353648018,0.3431044662115375
-0.052419207498618725,-0.1856579797938263,0.21929808143287352,0.32111207862788
-0.05419517311616432,-0.16956747018166926,0.22239725110755956,0.29871908155260896
-0.05580955856781056,-0.15333902227683213,0.22527079219864468,0.2759866217486088
-0.05726119293356625,-0.1370143021863588,0.22791561465933532,0.25297561496171145
-0.05854931933742811,-0.12063446063114336,0.23032923573834857,0.2297466040858841
-0.0596735893636037,-0.1042400469420317,0.23250977556029556,0.20635962098739116
-0.06063405663078913,-0.08787092664160498,0.23445595134361796,0.18287405218556782
-0.06143116956023117,-0.07156620258642923,0.23616707029555828,0.1593485085728688
-0.062065763372995734,-0.055364139633863885,0.23764302122540398,0.13584069934349163
-0.06253905135146995,-0.03930209279077446,0.23888426491887804,0.11240731028803405
-0.06285261539968134,-0.023416438798416934,0.23989182331807063,0.08910388660121457
-0.06300839593656023,-0.007742511108017287,0.24066726755273027,0.06598472034052262
-0.06300868115583091,0.007685461795226075,0.24121270487007057,0.04310274266560304
-0.06285609568582248,0.022834414756262245,0.24153076451151043,0.020509420981040142
-0.06255358868216218,0.03767250103118192,0.2416245825859598,-0.0017453389012055051
-0.06210442138607321,0.05216914410444865,0.2414977859903963,-0.023613285469337827
-0.0615121541808572,0.06629508625122724,0.24115447542955248,-0.045047908984428606
-0.060780633179108354,0.08002243384253091,0.2405992075875561,-0.06600452361889438
-0.05991397637328554,0.09332469937959967,0.2398369765053305,-0.08644034416684343
-0.05891655938245984,0.10617684023288904,0.2388731942184741,-0.10631455723811513
-0.057793000828353217,0.11855529405070739,0.23771367071118785,-0.1255883868539634
-0.05654814737418063,0.13043801079327227,0.23636459324260792,-0.1442251543690162
-0.05518705846029,0.14180448134010093,0.2348325051026177,-0.16219033265149937
-0.05371499077114686,0.15263576261249862,0.23312428385485237,-0.1794515944618478
-0.05213738246881507,0.16291449914870101,0.23124711912516469,-0.19597885497882
-0.05045983722872061,0.17262494106715043,0.22920848999427895,-0.211744308432135
-0.048688108114130914,0.18175295835356725,0.22701614205371753,-0.2267224588114902
-0.04682808132641428,0.19028605140999302,0.22467806418432643,-0.2408901446335969
-0.0448857598687389,0.1982133578088421,0.22220246511684733,-0.2542265577615585
-0.04286724716140598,0.2055256552021684,0.21959774983397318,-0.2667132562844693
-0.04077873064746371,0.21221536034573624,0.21687249587317417,-0.2783341714794507
-0.038626465427596554,0.2182765242089418,0.21403542958928426,-0.28907560889337547
-0.03641675796350852,0.22370482315497386,0.21109540243538796,-0.2989262435971438
-0.03415594988910061,0.2284975461906071,0.208061367319939,-0.30787710968143805
-0.03185040196866806,0.2326535783014279,0.20494235509727132,-0.3159215840792495
-0.029506478241097662,0.23617337990581538,0.20174745124772797,-0.32305536481699076
-0.02713053038862141,0.23905896247933614,0.19848577280253246,-0.3292764438125177
-0.02472888236807238,0.24131386042004102,0.19516644556726329,-0.3345850743547182
-0.02230781534178915,0.24294309924415453,0.19179858169636507,-0.3389837334153262
-0.019873552944326234,0.24395316022050215,0.18839125766954615,-0.3424770789591156
-0.01743224691995251,0.24435194157041745,0.18495349271917666,-0.3450719024334736
-0.014989963164564076,0.24414871637751218,0.18149422775592092,-0.34677707663240154
-0.012552668204110894,0.2433540873683074,0.17802230483782144,-0.3476034991431047
-0.010126216139949587,0.2419799387400632,0.17454644722591034,-0.34756403159539767
-0.007716336089701923,0.24003938522599266,0.17107524006716623,-0.3466734349450691
-0.005328620150235286,0.23754671860022222,0.1676171117432754,-0.34494830103202484
-0.0029685119073055767,0.23451735183522063,0.16418031592120477,-0.34240698066241027
-0.0006412955142330798,0.23096776113285616,0.16077291433906768,-0.33906950847094314
0.0016479146402625534,0.2269154260566918,0.15740276035817172,-0.3349575248253517
0.003894183657240875,0.2223787679975629,0.15407748330949775,-0.3300941950390939
0.006092765230238547,0.2173770872069126,0.15080447366018243,-0.32450412616145324
0.008239110112340017,0.21193049863283275,0.14759086902287707,-0.3182132816156876
0.010328873936817305,0.2060598667923537,0.14444354102814785,-0.3112488939561981
0.012357924382855257,0.19978673991035237,0.1413690830773761,-0.303639376014749
0.014322347680158656,0.19313328355064135,0.1383737989909285,-0.29541423070367356
0.01621845444846207,0.18612221395851797,0.13546369256370216,-0.2866039597408323
0.01804278487011845,0.17877673132646651,0.13264445803752334,-0.27723997155694
0.01979211319601605,0.1711204531860042,0.12992147149729655,-0.267354488640844
0.02146345158705512,0.1631773481190364,0.12729978319527493,-0.25698045457251617
0.023054053295297708,0.1549716699717383,0.12478411080535651,-0.2461514409870257
0.024561415190679635,0.14652789274310213,0.1223788336069144,-0.23490155470568186
0.025983279640838925,0.13787064630907572,0.1200879875953444,-0.22326534526298458
0.027317635753167098,0.12902465313185074,0.11791526151426693,-0.21127771305008622
0.028562719989628338,0.12001466609250805,0.11586399380215424,-0.1989738182872432
0.02971701616621739,0.11086540757405142,0.11393717044407153,-0.18638899102930626
0.030779254850142657,0.10160150991099588,0.11213742371722261,-0.17355864239973565
0.03174841216893005,0.0922474573112463,0.1104670318170795,-0.16051817724000397
0.03262370804665052,0.08282752934610407,0.10892791934904979,-0.14730290835261972
0.0334046038833858,0.0733657460949568,0.10752165866889643,-0.1339479725074192
0.03409079969486876,0.06388581502259467,0.10624947205347067,-0.12048824837227225
0.03468223072997431,0.054411079659198225,0.10511223468174971,-0.10695827652095802
0.03517906358440097,0.04496447014587242,0.10411047840468438,-0.09339218166271056
0.03558169182947911,0.03556845570216166,0.10324439628095784,-0.07982359722982514
0.03589073117557738,0.02624499906625087,0.10251384785443259,-0.06628559245175561
0.036107014190059974,0.017015512953505597,0.10191836514781745,-0.05281060203632146
0.03623158459018163,0.007900818574580689,0.1014571593459193,-0.03943035857096923
0.03626569113169981,-0.0010788937495278036,0.10112912814075184,-0.026175827749483654
0.0362107811143402,-0.009904101841468262,0.10093286370975792,-0.013077146522100808
0.03606849352557701,-0.018555986759471607,0.10086666129745853,-0.00016356425961690062
0.03584065184448718,-0.027016465698752528,0.10092852836997288,0.012536612985211436
0.03552925652771062,-0.03526822267622584,0.10111619431105684,0.02499607504294004
0.03513647719979917,-0.043294736974565255,0.10142712062758331,0.03718855695059745
0.03466464457046617,-0.0510803093237244,0.10185851163173629,0.049088884971207405
0.03411624210145681,-0.05861008580013189,0.10240732556661179,0.060673019255443196
0.03349389744594664,-0.06587007942593996,0.10307028614141331,0.0719180930985314
0.032800373683540156,-0.07284718945301921,0.10384389444199721,0.08280244875293959
0.03203856037408224,-0.07952921831891156,0.10472444118216698,0.09330566976488171
0.031211464453609082,-0.08590488626473233,0.10570801926083283,0.10340860981026329
0.030322200995850368,-0.09196384360809134,0.10679053658994807,0.11309341801337049
0.0293739838627467,-0.09769668066751487,0.10796772915800543,0.12234356073938124
0.028370116267463042,-0.10309493533861287,0.10923517429382637,0.1311438398596353
0.027313981273356033,-0.10815109832636038,0.11058830409540557,0.1394804074965343
0.026209032252287174,-0.11285861604234335,0.11202241898868111,0.1473407772629347
0.025058783325561516,-0.11721189118064582,0.1135327013812898,0.1547138320189262
0.023866799810609268,-0.12120628099120292,0.11511422937663604,0.161589828176931
0.022636688696312458,-0.1248380932748797,0.11676199051395184,0.16796039659408715
0.021372089169608116,-0.12810458013021805,0.11847089550045548,0.1738185400988586
0.020076663215670754,-0.1310039294876743,0.12023579190222465,0.17915862770671367
0.01875408631358883,-0.1335352544731929,0.1220514777609876,0.183976385587494
0.01740803824900107,-0.13569858064906812,0.12391271510469967,0.18826888485471988
0.01604219406464848,-0.13749483118617317,0.12581424332051272,0.19203452625450773
0.0146602151692269,-0.13892581002771723,0.12775079235955697,0.19527302183897102
0.013265740624293546,-0.13999418311066417,0.12971709574383875,0.19798537371590064
0.011862378628290735,-0.1407034577167436,0.13170790334650812,0.20017384997313606
0.010453698216003029,-0.14105796003054474,0.13371799391776623,0.2018419578823114
0.009043221190962758,-0.14106281098744694,0.1357421873297584,0.2029944144925558
0.007634414307466933,-0.14072390049905317,0.1377753565149322,0.2036371147302185
0.006230681717969222,-0.1400478601483025,0.13981243907352575,0.20377709712574665
0.004835357700668688,-0.13904203445050542,0.1418484485270862,0.20342250729344694
0.0034516996811364974,-0.13771445078013136,0.14387848519619562,0.20258255929399202
0.0020828815608081776,-0.1360737880662547,0.14589774668189923,0.20126749501317387
0.0007319873641271231,-0.13412934436211035,0.1479015379316811,0.19948854169354954
-0.0005979947849394738,-0.13189100339621104,0.14988528087221228,0.19725786775826334
-0.0019041783473729207,-0.12936920021392784,0.15184452359250036,0.19458853706846244
-0.003183783706017758,-0.12657488601933553,0.15377494906249087,0.19149446175735135
-0.004434143147492993,-0.12351949232748478,0.1556723833736082,0.1879903537850632
-0.005652705482754724,-0.12021489453709676,0.157532803489168,0.18409167535916887
-0.006837040301061682,-0.11667337503300731,0.15935234449404262,0.1798145883658159
-0.007984841853182777,-0.11290758592654182,0.16112730633440908,0.17517590295620114
-0.009093932560759596,-0.10893051154041052,0.16285416003985348,0.1701930254323541
-0.010162266149792685,-0.10475543074271428,0.16452955342153883,0.16488390557506405
-0.011187930407254484,-0.10039587923227866,0.16615031624156468,0.15926698355524455
-0.012169149560840396,-0.09586561187483265,0.16771346485004993,0.15336113656811898
-0.01310428628284965,-0.09117856518655766,0.169216206287853,0.1471856253273554
-0.01399184332013663,-0.08634882005829642,0.17065594185420205,0.1407600405537044
-0.01483046475298895,-0.08139056481027049,0.1720302701398387,0.13410424958982353
-0.015618936886668953,-0.07631805866355201,0.17333698952758045,0.12723834326983596
-0.016356188780199014,-0.07114559571080782,0.17457410016347508,0.12018258316878834
-0.017041292417777045,-0.06588746946501997,0.1757398054029543,0.11295734935357442
-0.017673462528976197,-0.06055793806101979,0.17683251273759043,0.10558308875309383
-0.018252056064611503,-0.055171190180783425,0.17785083420921752,0.09808026426144498
-0.018776571335846228,-0.049741311769553175,0.17879358631929623,0.0904693046838264
-0.01924664682476184,-0.044282253605993735,0.17965978944247651,0.08277055563056072
-0.019662059675228504,-0.03880779978578567,0.180448666754345,0.07500423146027706
-0.020022723873488107,-0.033331537174315515,0.1811596426843315,0.06719036836880651
-0.020328688128400066,-0.0278668258804546,0.1817923409056916,0.05934877871577535
-0.020580133461801906,-0.02242677079983494,0.18234658187537983,0.05149900667623332
-0.0207773705199032,-0.017024194272535185,0.18282237993747597,0.043660285299941815
-0.020920836617063367,-0.011671609896683218,0.18321994000463135,0.035851495056176595
-0.021011092523702254,-0.006381197536163628,0.1835396538327551,0.028091123937081755
-0.02104881901045799,-0.0011647795573828824,0.18378209590486672,0.02039722918775139
-0.02103481316104029,0.0039662016731131025,0.18394801894069868,0.012787400726320135
-0.020969984466529826,0.00900070500146392,0.18403834904924127,0.005278726312418062
